Date Read,Author,Books,Year Published,Pages,Favorite
Jun-68,Jean-Jacques Rousseau,The Confessions,1781,606,1
Jun-68,Erich Fromm,The Art of Loving,1956,146,1
Jun-68,Mark Twain,The Adventures of Huckleberry Finn,1884,288,0
Jul-68,James Thurber,My Life and Hard Times,1933,115,0
Jul-68,William Shakespeare,Romeo and Juliet,1596,146,0
Aug-68,John Barth,The End of the Road,1958,206,0
Sep-68,Aldous Huxley,Brave New World,1932,199,0
Sep-68,Fritz Peters,Boyhood with Gurdjieff,1964,174,0
Oct-68,P.D. Ouspensky,In Search of the Miraculous,1949,389,1
Nov-68,Russell H. Miles,"Johann Sebastian Bach, an Introduction to his Life and Works",1962,164,0
Dec-68,Hunter Davies,The Beatles,1968,340,0
Dec-68,P.D. Ouspensky,The Strange Life of Ivan Osokin,1955,166,0
Jan-69,René Daumal,Mount Analogue,1952,106,0
Jan-69,Bernard Malamud,The Assistant,1957,192,0
Jan-69,C.G. Jung,"Memories, Dreams, Reflections",1961,359,0
Jan-69,Philip Roth,"Goodbye, Columbus",1959,97,0
Feb-69,Malcolm X and Alex Haley,Autobiography,1964,460,0
Feb-69,"Jule Eisenbud, M.D.",The World of Ted Serios,1968,339,0
Feb-69,Penelope Gilliatt,A State of Change,1967,221,0
Feb-69,Oscar Wilde,The Picture of Dorian Gray,1891,234,0
Feb-69,Joseph Heller,Catch 22,1961,463,0
Feb-69,Voltaire,Candide,1758,144,0
Feb-69,F. Scott Fitzgerald,The Great Gatsby,1925,182,0
Feb-69,L.N. Tolstoy,War and Peace,1869,1444,1
May-69,Philip Roth,Portnoy's Complaint,1969,274,1
May-69,George Orwell,Down and Out in Paris and London ,1933,155,0
Jun-69,Fyodor Dostoyevsky,The Brothers Karamazov,1881,701,0
Jun-69,Norman Podhoretz,Making It,1967,262,0
Jun-69,Rodney Collin,The Theory of Eternal Life,1948,123,0
Jun-69,Norman Mailer,Miami and the Siege of Chicago,1968,223,0
Jul-69,G.I. Gurdjieff,Meetings with Remarkable Men,1927,303,0
Jul-69,William Shakespeare,Hamlet,1602,214,0
Aug-69,James Simon Kunen,The Strawberry Statement,1969,151,0
Sep-69,Emily Brontë,Wuthering Heights,1847,320,1
Jan-70,Herman Melville,Moby Dick,1851,535,0
Jan-70,Johann Wolgang Goethe,The Sorrows of Young Werther,1774,199,1
Feb-70,Jean-Paul Sartre,Nausea,1938,253,0
Mar-70,Garrett Mattingly,The Armada,1959,402,1
Apr-70,Honoré de Balzac,Eugénie Grandet,1833,248,0
Apr-70,Bertrand Russell,The Conquest of Happiness,1930,180,0
May-70,Margaret Mead,Culture and Commitment,1970,97,0
Jul-70,Jane Austen,Sense and Sensibility,1811,349,0
Aug-70,L.N. Tolstoy,"Childhood, Boyhood, Youth",1857,319,0
Sep-70,Norman Zierold,Garbo,1969,157,0
Oct-70,Joan Didion,Play It as It Lays,1970,152,0
Oct-70,Anais Nin,Diary,1934,358,0
Nov-70,André Gide,The Counterfeiters,1927,397,0
Dec-70,Gustave Flaubert,Sentimental Education,1869,419,0
Jan-71,Joseph Conrad,Lord Jim,1900,313,0
Jan-71,William Shakespeare,Othello,1602,128,0
Feb-71,Thomas Mann,Buddenbrooks,1901,595,0
Mar-71,Bill Moyers,Listening to America,1971,342,1
Apr-71,Alvin Toffer,Future Shock,1970,430,0
Jun-71,Jerzy Kosinski,Being There,1971,140,0
Jul-71,Charlotte Brontë,Jane Eyre,1847,477,1
Aug-71,William Shakespeare,King Lear,1605,138,0
Aug-71,Johann Wolfgang Goethe,Elective Affinities,1809,300,0
Sep-71,William J. Mitchell,Elementary Harmony,1965,230,0
Oct-71,Edmund S. Morgan,The Birth of the Republic,1956,157,0
Nov-71,Kenneth A. Lockridge,"A New England Town, the First One Hundred Years",1969,180,0
Dec-71,Mary Renault,The Charioteer,1961,347,0
Jan-72,L.N. Tolstoy,Anna Karenina,1873,852,1
Feb-72,Milovan Djilas,The New Class,1957,214,0
Mar-72,Albert Schweitzer,"J.S. Bach, Vol. 1",1911,428,1
Apr-72,Alan Watts,The Wisdom of Insecurity,1951,152,0
Aug-72,Larry McMurtry,All My Friends are Going to Be Strangers,1972,286,0
Sep-72,Richard Bach,Jonathan Livingston Seagull,1970,93,0
Oct-72,Thomas Wolfe,Look Homeward Angel,1929,522,0
Oct-72,Alan Moorehead,Darwin and the Beagle,1969,270,0
Feb-73,Charles Dickens,David Copperfield,1850,850,0
Apr-73,Charles Dickens,American Notes,1842,320,0
Jun-73,W.J. Cash,The Mind of the South,1941,440,0
Jun-73,William Faulkner,The Wild Palms,1939,317,0
Jul-73,Thomas Hardy,Tess of the D'Urbervilles,1902,517,0
Aug-73,Irving Bieber,"Homosexuality, a Psychoanalytic Survey",1955,319,0
Aug-73,André Gide,The Immoralist,1903,171,0
Sep-73,Dee Brown,Bury My Heart at Wounded Knee,1971,421,0
Oct-73,Gabriel Garcia Marques,One Hundred Years of Solitude,1970,383,0
Oct-73,Jane Austen,Pride and Prejudice,1797,430,1
Nov-73,Sarah N. Randolph,The Domestic Life of Thomas Jefferson,1939,384,0
Nov-73,Daniel Boorstin,The Lost World of Thomas Jefferson,1948,248,0
Dec-73,Peter McCabe and Robert D. Schonfeld,Apple to the Core,1972,200,0
Dec-73,E.N. da C. Andrade,"Sir Isaac Newton, His Life and Work",1954,136,0
Dec-73,John Kenneth Galbraith,Economics and the Public Purpose,1973,324,0
Dec-73,Anne F. Scott,The Southern Lady,1970,231,0
